pemain,sutradara,judul_sinetron
Naysila Mirdad,Leo Sutanto,Dewi Penjaga Rindu
Kadek Devie,Raam Punjabi,Beningnya Cinta
Fanny Fabriana,Raam Punjabi,Beningnya Cinta
Samuel Zylgwyn,Raam Punjabi,Beningnya Cinta
Sandy Tumiwa,Raam Punjabi,Beningnya Cinta
Jeremy Thomas,Raam Punjabi,Beningnya Cinta
Cici Tegal,Raam Punjabi,Beningnya Cinta
Tia Ivanka,Leo Sutanto,Dara Kawin Lari (sinetron)
Ari Wibowo,Leo Sutanto,Dara Kawin Lari (sinetron)
Asmirandah,Leo Sutanto,Dara Kawin Lari (sinetron)
Vira Yuniar,Leo Sutanto,Dara Kawin Lari (sinetron)
Miller,Leo Sutanto,Dara Kawin Lari (sinetron)
Keira Shabira,Leo Sutanto,Dara Kawin Lari (sinetron)
Rezky Aditya,Leo Sutanto,Dara Kawin Lari (sinetron)
Michella Putri,Leo Sutanto,Dara Kawin Lari (sinetron)
Kevin Andrean,Leo Sutanto,Dara Kawin Lari (sinetron)
Putri Anne,Leo Sutanto,Dara Kawin Lari (sinetron)
Nasya Marcella,Leo Sutanto,Yang Masih di Bawah Umur
Muhammad Sidik Edward,Leo Sutanto,Yang Masih di Bawah Umur
Super Idola Band,Leo Sutanto,Yang Masih di Bawah Umur
Zaskia Sungkar,Manoj Punjabi,Si Alif
Bemby Putuanda,Manoj Punjabi,Si Alif
Nana Khairina,Manoj Punjabi,Si Alif
Oka Antara,Manoj Punjabi,Kami Bukan Malaikat
Donita,Manoj Punjabi,Kami Bukan Malaikat
Niken Anjani,Manoj Punjabi,Kami Bukan Malaikat
Reza Pahlevi,Manoj Punjabi,Kami Bukan Malaikat
Dicky Wahyudi,Manoj Punjabi,Kami Bukan Malaikat
Dinda Kanyadewi,Manoj Punjabi,Kami Bukan Malaikat
Samuel Rizal,Leo Sutanto,Cinta Dan Anugerah 2
Alexandra Gottardo,Leo Sutanto,Cinta Dan Anugerah 2
Nabila Syakieb,Leo Sutanto,Cinta Dan Anugerah 2
Putri Titian,Leo Sutanto,Cinta Dan Anugerah 2
Arifin Putra,Leo Sutanto,Cinta Dan Anugerah 2
Aura Kasih,Leo Sutanto,Cinta Dan Anugerah 2
Yasmine Wildblood,Leo Sutanto,Cinta Dan Anugerah 2
Fandy Christian,Leo Sutanto,Cinta Dan Anugerah 2
Jonas Rivanno,Leo Sutanto,Cinta Dan Anugerah 2
